Website,IRS EIN,Facebook,Name,Address,Twitter,Phone Number,Email,Instagram
blue-halo.org/,27-2274800,https://www.facebook.com/autismATX/,Haymerica Education dba Blue-Halo,"Blue Halo / The Capital Factory,Austin,  78701",,512-773-7947,lance@blue-halo.org,
www.sharinghappybirthdays.org,47-3134530,https://www.facebook.com/sharinghappybirthdays,Happy Birthdays,"1402 Chisholm Trail,Round Rock, Texas 78681",https://twitter.com/@ShareHappyBdays/,512-627-2729,suzanne@sharinghappybirthdays.org,
www.halfhelen.org,46-2808051,https://www.facebook.com/HalfHelen/,half Helen Foundation,"220 Foremost Drive,Austin,  78745",https://twitter.com/HalfHelen,512-299-1353,chelsea@halfhelen.org,https://www.instagram.com/halfhelen
www.hairtostay.org,45-3419887,https://www.facebook.com/HairToStay2,HairToStay,"5804 Shoal Creek Blvd,Austin, Texas 78757-3124",,512-777-8762,patsy@hairtostay.org,
www.faithinactiongt.org,20-3414707,https://www.facebook.com/faithinactiongt,Faith in Action Georgetown,"PO Box 743,Georgetown,  78627",,512-868-9544,director@faithinactiongt.org,
www.familyeldercare.org,74-2286387,https://www.facebook.com/familyeldercare,Family Eldercare,"1700 Rutherford Lane,Austin, Texas 78754",https://twitter.com/familyeldercare,512-450-0844,bmcpherson@familyeldercare.org,
www.helpcenterofaustin.org,74-2438629,https://www.facebook.com/HELP-Center-of-Austin-155709367795286/,H.E.L.P.,"2908-B East Howard Lane,MANOR, Texas 78653",https://twitter.com/HorseEmpowered,512-413-4371,director@helpcenterofaustin.org,https://instagram.com/h.e.l.p._horse_empowered/
familiesinnature.org,47-1614599,https://www.facebook.com/familiesinnature.org/,Families in Nature,"4610 Shoalwood Ave,Austin, Texas 78756",https://twitter.com/familiesnnature,512-710-7346,heather@familiesinnature.org,https://www.instagram.com/familiesinnature/
www.eackids.org,74 -1646824,https://www.facebook.com/ExtendACareATX,Extend-A-Care for Kids,"55 North IH 35,Austin, Texas 78702",https://twitter.com/EACATX,512-472-9402,jgarcia@eackids.org,
www.family-crisis-center.org,74-2304542,https://www.facebook.com/fcc.staff.7,Family Crisis Center,"P.O. Box 736,Bastrop,  78602",,512-321-7760,sherrym@familycrisiscenter.us,
www.exceptionalgeorgetown.org,74-2786718,https://www.facebook.com/Exceptional-Georgetown-304078493112788/?ref=aymt_homepage_panel,Exceptional Georgetown Alliance,"PO Box 3000, #172,Georgetown,  78627",https://twitter.com/search?q=EGA_TX&src=typd,512-864-2828,exceptionalgeorgetown@gmail.com,
exploreaustin.org/,20-5496495,https://www.facebook.com/exploreaustin,Explore Austin,"2121 E. Cesar Chavez,Austin, Texas 78702",https://twitter.com/Explore_Austin,512-320-8899,info@exploreaustin.org,https://www.instagram.com/explore_austin/
www.equalitytexasfoundation.org/,74-2569542,https://www.facebook.com/EqualityTexas,Equality Texas Foundation,"PO Box 2340	,Austin,  78768",https://twitter.com/equalitytexas,512-474-5475,collin.acock@equalitytexas.org,https://www.instagram.com/equalitytexas/
www.eremos.org,74-2784171,https://www.facebook.com/EremosAustin?ref=hl,"Eremos, a Center of Contemplative Life","6210 Adel Cove,Austin, Texas 78749",,512-531-9594,diannaamorde@eremos.org,
www.efcst.org,76-0415338,https://www.facebook.com/texasepilepsy,Epilepsy Foundation Central & South Texas,"8505 Cross Park Dr.,Austin, Texas 78754",https://twitter.com/efcst,512-876-8471,lee@efcst.org,https://www.instagram.com/explore/locations/840529304/epilepsy-foundation-central-south-texas/
www.esquinatangoaustion.com,26-1091974,https://www.facebook.com/esquinatangoatx?fref=ts&ref=br_tf,Esquina Tango,"209 Pedernales Street,Austin, Texas 78702",https://@EsquinaTangoATX,512-524-2772,info@esquinatangoaustin.com,https://esquinatango
www.equaljusticecenter.org,74-3003521,https://www.facebook.com/pages/Equal-Justice-Center/136972929722688?ref=br_tf,Equal Justice Center,"510 South Congress Ave,Austin, Texas 78704",,512-474-0007,WorkplaceJustice@equaljusticecenter.org,
www.optionsforall.org,83-0471805,https://www.facebook.com/ECOATX/,Employment & Community Options,"500 E Whitestone Blvd.,Cedar Park,  78613",https://CEOofECO,512-674-9304,nbatman@optionsforall.org,
www.gotraustin.org,26-2614372,https://www.facebook.com/GOTRaustin,Girls on the Run of Austin,"PO Box 200594,Austin,  78720",,512-914-9056,alicia.henderson@girlsontherun.org,
www.ensembleviii.org,27-4287545,https://www.facebook.com/EnsembleVIII,Ensemble VIII,"3300 Bee Caves Road,Austin,  78746",https://twitter.com/EnsembleVIII,512-585-3095,tjs12454@gmail.com,
https://girlsintech.org,45-4106759,https://www.facebook.com/groups/56988264574/,Girls In Tech ,"180 Sansome Street, 2nd Floor,San Francisco, California 94104",https://@girlsintech,408-768-8736,wenhowel@cisco.com,https://www.instagram.com/girlsintech.global/
www.giftingcare.org,27-5471213,https://www.facebook.com/Giftingcare,Gifting Care,",  ",,512-846-2683,ycarroll@arribascientific.com,
www.gsdrescuectx.com/,90-0483079,https://www.facebook.com/gsdrescuectx,German Shepherd Rescue Central Texas,"PO Box 1578,Dripping Springs,  78620",https://twitter.com/GSDrescueCTX,512-961-4728,hamble@sbcglobal.net,
girlforward.org,45-2987277,https://Facebook.com/GirlForwardAustin,GirlForward,"PO Box 607516,Chicago,  60660",https://twitter.com/girlforward,773-856-0598,info@girlforward.org,https://girlforwardgram
www.getupproject.org,45-4931906,https://www.facebook.com/GetUpProject?ref=hl,Get Up Project,"PO Box 552,Georgetown,  78627",,512-466-1455,gadominguez77@gmail.com,
www.georgetownartcentertx.org/,26-1464572,https://www.facebook.com/GeorgetownArtWorks,Georgetown Art Works/Georgetown Art Center,"816 South Main Street,Georgetown, Texas 78626",,512-930-2583,mari@maricpa.com,
georgetownheritagesociety.org,74-2039598,https://www.facebook.com/GeorgetownHeritageSociety,Georgetown Heritage Society,"PO Box 1265,Georgetown,  78627",,512-869-8597,georgetownhs@verizon.net,
www.georgetownanimaloutreach.org,74-2965696,https://www.facebook.com/GeorgetownAnimalOutreach/,Georgetown Animal Outreach,"PO Box 1684,Georgetown,  78627",,512-818-5773,txcodigirl@gmail.com,
gazellefoundation.org,20-5456080,https://facebook.com/gazellefoundation,Gazelle Foundation,"PO Box 1487 ,Austin,  78767",https://twitter.com/GZLFoundation,512-487-7992,info@gazellefoundation.org,
www.gsctx.org,74-1109644,https://www.facebook.com/GSCTX,Girl Scouts of Central Texas,"12012 Park Thirty-Five Circle,Austin, Texas 78753",,512-490-2323,scottd@gsctx.org,
www.girlsempowermentnetwork.org,74-2837732,https://www.facebook.com/GirlsEmpowermentNetwork/,GENaustin,"PO Box 3122,Austin,  78764",https://www.twitter.com/Girls_EN,512-808-4044,elena@girlsempowermentnetwork.org,
www.frontlinefaithproject.org,20-5425406,https://www.facebook.com/FrontlineFaithProject,Frontline Faith Project,"P.O. Box 341991,Austin,  78734",https://twitter.com/frontlinefaith,512-965-4449,info@frontlinefaithproject.org,
frontsteps.org,74-2824054,https://www.facebook.com/FrontSteps,Front Steps,"500 E. 7th Street,Austin, Texas 78701",https://twitter.com/Frontsteps,512-305-4107,kklotz@frontsteps.org,
www.fuseboxfestival.com,26-3676365,https://www.facebook.com/FuseboxFestival,Fusebox,"2023 E. Cesar Chavez,Austin, Texas 78702",https://twitter.com/fuseboxfestival,512-800-3066,brad@fuseboxfestival.com,https://www.instagram.com/fuseboxfestival/
www.freshchefssociety.org/,46-0678278,https://www.freshchefssociety.org/,Fresh Chefs Society ,"1601 E. 5th Street, Suite 105 ,Austin, Texas 78702",,512-537-5954,info@freshchefssociety.org,
friendsofaac.org,20-5687086,https://www.facebook.com/friendsofaac.org,Friends of Austin Animal Center,"P.O. Box 297,Austin,  78756",https://www.twitter.com/aacfriends,773-469-8514,info@friendsofaac.org,
www.ausslcfriends.org,74-1484342,https://www.facebook.com/ausslcfriends,Friends of Austin State Supported Living Center,"2203 West 35th Street,Austin,  78703",,512-374-6048,friends@ausslcfriends.org,
www.forkliftdanceworks.org,01-0812720,https://www.facebook.com/pages/Forklift-Danceworks/14396613585,Forklift Danceworks,"2023 E Cesar Chavez,Austin, Texas 78702",https://twitter.com/ForkliftDance,512-633-4974,info@forkliftdanceworks.org,
fosterangelsctx.org,27-1024497,https://www.facebook.com/pages/Foster-Angels-of-Central-Texas/157413924285745,Foster Angels of Central Texas,"PO Box 152575,Austin,  78715",https://twitter.com/FosterAngels,512-732-2329,tania@fosterangelsctx.org,
www.foundationhomeless.org,74-2525249,https://www.facebook.com/pages/Foundation-for-the-Homeless/43830806894?ref=ts,Foundation for the Homeless,"PO Box 28006,Austin,  78755",https://twitter.com/forthehomeless,512-615-6869,accounting@foundationhomeless.org,
www.florencescomforthouse.org/,74-2879635,https://www.facebook.com/groups/58844272210/,Florence's Comfort House,"Austin,  78741",,512-385-8672,friendsoffch@gmail.com,
www.foundcom.org,74-2563260,https://www.facebook.com/FoundationCommunities,Foundation Communities,"3036 S 1st St,Austin, Texas 78704",https://twitter.com/foundcom,512-610-4024,peachy.myers@foundcom.org,
www.schoolsuppliesforthechildren.org,74-2558093,https://www.facebook.com/pages/School-Supplies-For-The-Children/203165086365400,For The Children,"PO Box 29346,Austin,  78755",https://@ftcatx,512-784-4618,supplies.ftc@att.net,
www.farmgrass.org,46-4884710,https://facebook.com/farmgrassfest/,Farmgrass,"2956 Cohoba Dr,Austin,  78748",https://twitter.com/Farmgrassfest,512-705-5846,talia@farmgrass.org,
www.flcct.org,34-2018800,https://www.facebook.com/FLCCT?ref=profile,Financial Literacy Coalition of Central Texas,"1600-B Smith Road,Austin, Texas 78721",https://twitter.com/FLCCT,512-456-8630,mcavazos@flcct.org,
groundworkmusic.org,55-0881517,https://www.facebook.com/groundworkmusicproject,Groundwork Music Project,"4201 Wilshire Pkwy,Austin, Texas 78722",https://twitter.com/groundworkmusic,512-669-2028,neal@groundworkmusic.org,
www.guidedogsoftexas.org,74-2530268,https://www.facebook.com/guidedogstx,"Guide Dogs of Texas, Inc.","1503 Allena Dr ,San Antonio , Texas 78213",https://twitter.com/bestdogsinsight,210-366-4081,peggy@guidedogsoftexas.org,https://@guidedogsoftexas
www.groundfloortheatre.org,20-0887495,https://facebook.com/groundfloortheatre,Ground Floor Theatre,"979 Springdale Rd,Austin, Texas 78702",https://twitter.com/groundflooratx,512-926-2203,lisa@groundfloortheatre.org,
www.groundedinmusic.net,20-8992225,https://www.facebook.com/groundedinmusic,Grounded in Music,"609 Castle Ridge Road,Austin,  78746",https://twitter.com/GIMAustin,512-469-9800,stallone@ohdlegal.com,
www.grassrootsleadership.org,58-1581743,https://www.facebook.com/grassrootsleadership.page,Grassroots Leadership,"2301 East Cesar Chavez St.,Austin, Texas 78702",https://twitter.com/Grassroots_News,512-499-8111,blibal@grassrootsleadership.org,
https://www.greencornproject.org/,74-2885357,https://www.facebook.com/GreenCornProject,Green Corn Project,"P.O. Box 49468,Austin,  78765",https://twitter.com/GreenCornProj,512-632-4541,greencornproject@usa.net,
www.farmshareaustin.org,46-1200713,https://www.facebook.com/FarmshareAustin,Farmshare Austin,"3608 River Road,Cedar Creek,  78612",https://twitter.com/FarmshareATX,817-896-7618,info@farmshareaustin.org,https://www.instagram.com/farmshareatx/
www.grr-tx.com,74-2897409,https://www.facebook.com/GoldRibbonRescue,Gold Ribbon Rescue,"PO Box 956,Austin,  78767",https://twitter.com/grrtexas,512-659-4653,tjt@grr-tx.com,https://www.instagram.com/grrtexas/
www.farm-1-1.org,81-0941026,https://www.facebook.com/Farm1one,Farm-1-1,"157 Bahia Lane,Cedar Creek, Texas 78612",,210-725-2937,JoAnn@Farm-1-1.org,
www.globalaustin.org,74-1383241,https://www.facebook.com/GlobalAustin/,GlobalAustin ,"1103 W. 24th Street,Austin, Texas 78705",https://twitter.com/globalaustin,512-215-0140,margie@globalaustin.org,https://www.instagram.com/globalaustin/
goodwillcentraltexas.org,74-1322808,https://www.facebook.com/AustinGoodwill,Goodwill Central Texas,"1015 Norwood Park Blvd,Austin, Texas 78753",https://twitter.com/AustinGoodwill,512-637-7198,jessica.camarillo@goodwillcentraltexas.org,
givingaustinlaborsupport.org,27-3448123,https://www.facebook.com/galsupport,Giving Austin Labor Support (GALS),"The Greater Austin Area,Austin, Texas 78757",https://www.twitter.com/galsupport,512-934-2171,coordinator@givingaustinlaborsupport.org,https://www.instagram.com/galsupport/
www.gsmyc.org,74-2553659,https://www.facebook.com/gsmyc,Greater San Marcos Youth Council,"P.O. Box 1455,San Marcos,  78667",https://twitter.com/YCshelter4kids,512-754-0500,tcarfield@gsmyc.org,https://www.instagram.com/gsmyc/?hl=en
www.girlstart.org,31-1595414,https://www.facebook.com/Girlstart,Girlstart,"1400 W Anderson Lane,Austin, Texas 78757",,512-916-4775,julie@girlstart.org,
www.dogsoutloud.org/,45-5485098,https://www.facebook.com/DogsOutLoud,Dogs Out Loud,"PO Box 152350,Austin,  78715-2350",https://twitter.com/DogsOutLoud,512-537-4365,info@dogsoutloud.org,https://www.instagram.com/dogsoutloud/
dsact.org/,74-2577312,https://www.facebook.com/DSACT,Down Syndrome Association of Central Texas (DSACT),"3710 Cedar St.,Austin,  78705",https://twitter.com/DSACT,512-323-0808,cameron.lahaise@dsact.org,
www.girlsrockaustin.org,26-2554207,https://www.facebook.com/girlsrockaustin,Girls Rock Austin,"PO Box 300897,Austin,  78703",https://twitter.com/girlsrockaustin,512-803-1314,girlsrock@girlsrockaustin.org,https://www.instagram.com/girlsrockatx/
www.downhomeranch.org,74-2536461,https://www.facebook.com/pages/Down-Home-Ranch/228189370553881?sk=wall,Down Home Ranch,"20250 FM 619,Elgin, Texas 78621",,512-856-0128,kelly@downhomeranch.org,
communications.dvisd.net/del-valle-isd-education-partners/,74-1472539,,Del Valle ISD Education Partners,"5301 Ross Road,Del Valle, Texas 78617",https://twitter.com/DelValleISD,512-386-3071,education.partners@dvisd.net,
www.supportdellchildrens.org,20-0468031,https://www.facebook.com/dellchildrensfoundation,Dell Children's Medical Center Foundation,",  ",,512-324-9999,chotchkiss@seton.org,
main.org/diffstages,74-2347210,https://www.facebook.com/DifferentStages,Different Stages,"6205 Haney Dr,Austin, Texas 78723",,512-926-6747,differentstagescompany@yahoo.com,
www.danceanotherworld.org,47-1167826,https://www.facebook.com/danceanotherworld,Dance Another World,"PO Box 270207,Austin,  78727",https://www.twitter.com/danceanothworld,512-507-6408,Dawn@DanceAnotherWorld.org,https://www.instagram.com/danceanotherworld/?hl=en
www.crowesnestfarm.org,74-2253593,https://www.facebook.com/crowesnestfarm,"Crowe's Nest Farm, Inc.","10300 Taylor Lane,Manor, Texas 78653",,512-272-4418,info@crowesnestfarm.org,
conmimadre.org,26-2034766,https://www.facebook.com/ConMiMADREFriends,Con Mi MADRE,"1925 San Jacinto Blvd,Austin, Texas 78712",https://twitter.com/ConMiMADRE,512-475-6309,teresa@conmimadre.org,https://www.instagram.com/conmimadre
www.cary4kids.org,74-2921243,https://www.facebook.com/CARY4kids,Council on At-Risk Youth,"3710 Cedar St., Box 23,Austin,  78705",https://twitter.com/cary4kids,512-451-4592,jpanzer@cary4kids.org,
www.conspirare.org,74-2611315,https://www.facebook.com/Conspirare,Conspirare,"505 East Huntland Drive #155,Austin, Texas 78752",https://twitter.com/ConspirareTweet,512-476-5775,rbarrera@conspirare.org,
www.creativeaction.org,74-2856925,https://www.facebook.com/CreativeActionAustin,Creative Action,"2921 E. 17th St, Box 7,Austin,  78702",https://twitter.com/CreativeATX,512-442-8773,tyler@creativeaction.org,
www.egbi.org,90-0128899,https://www.facebook.com/EGBIofAustin,Economic Growth Business Incubator,"1144 Airport Blvd., Ste. 260,Austin, Texas 78702",https://twitter.com/EGBIofAustin,512-928-2068,al.lopez@egbi.org,
www.caa-austin.org,74-6052767,https://www.facebook.com/groups/6351632798/,Congregation Agudas Achim,"7300 Hart Lane,Austin, Texas 78731",,512-735-8416,jerry.becker@caa-austin.org,
www.elbuen.org,74-2488682,https://www.facebook.com/elbuenaustin,El Buen Samaritano,"7000 Woodhue Dr.,Austin, Texas 78745",https://twitter.com/elbuen,512-439-8906,mkeenan@elbuen.org,
companionconnection.net/index.htm,27-0616095,https://www.facebook.com/ccofelgin/,Companion Connection,"PO Box 875,Elgin,  78621-0875",,512-285-5620,VillageRescue@gmail.com,
www.eaprep.org,26-1609474,https://www.facebook.com/EastAustinPrep,East Austin College Prep,"6002 Jain Lane,Austin, Texas 78721",https://twitter.com/southwestkey,512-462-2181,syarbrough@swkey.org,
www.austinecho.org,27-4449243,https://www.facebook.com/atxecho,ECHO,"100 N. IH35, Ste 1003,Austin,  78701",https://www.twitter.com/atxecho,512-517-3945,nikipaul@austinecho.org,
www.dropsofgrace.org,77-0721506,https://www.facebook.com/drops-of-grace-170353797124/?fref=ts,Drops of Grace,"PO Box 2168,Round Rock,  78680",https://twitter.com/search?q=drops%20of%20grace&src=typd,512-751-7533,karahr@dropsofgrace.org,
www.ecology-action.org,74-1696145,https://www.facebook.com/pages/Ecology-Action-of-Texas/115047648556441,Ecology Action of Texas,"PO Box 1927,Austin,  78767",https://twitter.com/EcologyActionTx,512-595-0831,admin@ecology-action.org,https://www.instagram.com/ecologyactionatx/
www.driveaseniornorthwest.org,74-2431073,https://www.facebook.com/pages/Drive-a-Senior-Northwest-A-Faith-in-Action-program/28003779025?ref=aymt_homepage_panel,Drive a Senior Northwest,"10633 Lake Creek Parkway,Austin, Texas 78750",https://twitter.com/DriveASeniorNW,512-250-5021,rides@driveaseniornorthwest.org,
www.driveasenior.org,46-5204159,https://www.facebook.com/DriveaSeniorNetwork/,Drive a Senior,"300 S Lamar Blvd. Ste D-109 #435,Austin,  78704",https://www.twitter.com/DriveaSenior,512-456-8262,network@driveasenior.org,
www.easterseals.com/centraltx/,75-0808811,https://www.facebook.com/EasterSealsCentralTexas,Easter Seals Central Texas,"8505 Cross Park Drive,Austin, Texas 78754",https://twitter.com/EasterSealsCTX,512-615-6870,llopez@eastersealstx.org,
www.dressforsuccess.org/austin,13-4220559,https://www.facebook.com/DFSAustin,Dress for Success Austin,"701 Tillery Street,Austin,  78702",https://twitter.com/DFS_ATX,512-389-3723,austin@dressforsuccess.org,https://@dfsaustintx
www.dsysa.org,74-2477771,https://www.facebook.com/DSYSA/,Dripping Springs Youth Sports Association,"PO Box 637,Dripping Springs,  78620",,512-968-8395,community_relations@dsysa.org,
www.e4youth.org,46-2878544,https://facebook.com/e4youth,E4 Youth,"4302 Airport Blvd,Austin,  78722",https://twitter.com/e4youth,512-917-2551,carl@e4youth.org,
www.everyonesdreamcometrue.org,30-0654749,https://www.facebook.com/tdctf/,Dream Come True Foundation,"P. O. Box 5890,Austin,  78763",https://twitter.com/DCTFoundation,512-508-7562,mail@everyonesdreamcometrue.org,
cohintl.org/,65-1213326,https://www.facebook.com/pages/Circle-of-Health-International/184816621099,Circle of Health International,"1905 Paramount Ave.,Austin,  78704",https://twitter.com/COHIntl,347-712-1721,sera@cohintl.org,https://instagram.com/circleofhealth
circusofhope.org,46-2535996,https://www.facebook.com/circusofhope,Circus of Hope,"2006 Courtney St.,Austin,  78745",https://www.twitter.com/circusofhope,512-662-3130,jbird@circusofhope.org,
www.dadth.org,26-3423995,https://www.facebook.com/DreamADreamTherapeuticHorsemanship,Dream a Dream Therapeutic Horsemanship,"P. O. Box 1687,Leander,  78646",https://www.twitter.com/@DADTH,512-260-5957,bmccall@dadth.org,https://www.instagram.com/dadth
www.cafa-texas.org,81-1831493,https://facebook.com/cafatexas,Citizen Advocates for Animals,"PO Box 340801,Lakeway,  78734",https://twitter.com/LoveLakewayDeer,512-755-1578,jmonroe@urbandeer-mgmt.org,https://www.instagram.com/lovelakewaydeer/
www.cinematicsymphony.com,84-1689062,https://www.facebook.com/cinematicsymphony,Cinematic Symphony,"PO Box 150021 ,Austin,  78715 ",https://twitter.com/cinematicsymph,512-922-9054,info@cinematicsymphony.com,
